med_mass_1 med_mass_2 med_lum_dist log_D_AB
9.391910551632896897e+00 8.320412149214352127e+00 1.422236913164643511e+03 -2.126093648631906419e+01
9.661880088259268362e+00 9.509069605257632674e+00 1.371642939913300779e+03 -2.111888229605586531e+01
1.054932251636449081e+01 7.803602955944972663e+00 1.276410383884582188e+03 -1.760945849108493988e+01
3.028061920220947201e+01 2.211667607944373870e+01 1.444397297436641384e+04 -6.531797744704281428e+00
2.100978477022496804e+01 1.424887950847868012e+01 1.005477218816123241e+04 -7.867662526698502745e+00
1.172349502065117832e+01 7.275926623639620061e+00 1.259761275342004865e+03 -1.398918048274435577e+01
1.109385709394006447e+01 8.581042219749019040e+00 1.575133118587655872e+03 -1.738249339893007317e+01
1.056020879025690995e+01 9.589331140968536005e+00 1.168142852303993550e+03 -1.751416367343954761e+01
7.945519957858181215e+00 7.245625759509447761e+00 1.203062426085285324e+03 -2.922488072602584097e+01
4.251701625749093694e+01 2.978524454508266928e+01 2.136371032121345343e+04 -5.128229860041781052e+00
1.044084588417397441e+01 9.874056565199950342e+00 1.322164423283812084e+03 -1.815381998026218469e+01
1.300632801876323086e+01 1.085449419644202251e+01 3.888042802161662621e+03 -1.663836038827685471e+01
1.036466327167218182e+01 9.548663789700306381e+00 1.363784411062135860e+03 -1.776167142177217073e+01
4.284428812078697746e+01 3.215365825978879855e+01 2.194008815196191426e+04 -5.013918374720159221e+00
1.029275415941152261e+01 7.584406203007127090e+00 1.261331056269573764e+03 -1.873131398725971408e+01
3.037520420205980187e+01 2.136331904731701670e+01 1.132894771629130446e+03 -1.445070501542033981e-01
1.574811542731345071e+01 1.142883385373267480e+01 4.342843869059524877e+03 -1.207301242548298603e+01
1.833068577498473672e+01 1.667205765430011866e+01 7.408545542325874521e+03 -9.522456408552310236e+00
4.737846760183911954e+01 3.598460138615841686e+01 9.759810871283974848e+03 -7.245442202895162609e-01
7.983342293232102094e+00 7.389769475013892475e+00 1.378764186120411296e+03 -3.009817236948850194e+01
2.653123242870735510e+01 2.382094995157943274e+01 6.620186693037248915e+03 -4.668044185526149192e+00
3.707822444808620332e+01 2.905233262228753688e+01 1.742610936631884397e+04 -5.648303186901674877e+00
1.023928085418571499e+01 7.414841430322407945e+00 1.381662084751796101e+03 -1.951985046859018880e+01
1.040672388985710199e+02 7.080678675224058338e+01 5.094202701302952482e+04 -3.421793917250823824e-01
4.888357632797594476e+01 3.894675206241290510e+01 1.912981754018082574e+04 -3.737639563090052519e+00
1.027046646618972758e+01 7.327348575618621851e+00 1.125975179908733708e+03 -1.826831635855950609e+01
1.057308282156048485e+01 7.678205329621867747e+00 1.182747404286127221e+03 -1.735315554288160556e+01
2.094516904758233267e+01 1.523452273305447058e+01 1.137205060700897229e+04 -8.203089314973452062e+00
1.125724565141943678e+01 7.686347662937176750e+00 1.412938627937272940e+03 -1.622974869420067279e+01
8.340381858069490306e+01 2.360453769184458750e+01 1.513614237659206628e+04 1.886619953819060669e+00
2.928713288265421966e+01 1.072454205262959093e+01 1.511510393061039167e+03 8.424853206114200077e-01
8.688617464932683276e+00 6.171745844556763672e+00 1.146032424701752916e+03 -2.373073483190225019e+01
7.950776817481091996e+01 4.035020378496480475e+01 3.815615989780274685e+04 -9.759018645177448548e-01
1.703286981740262007e+01 7.511693996949169616e+00 1.368875166812844782e+03 -5.182003292051852839e+00
1.049128889402607001e+01 7.237916521914526058e+00 1.367629208189778183e+03 -1.846686685580915110e+01
1.587386244351318076e+01 1.435047257005549781e+01 1.263564601937885755e+03 -7.734554469971655521e+00
1.005773984622052453e+01 9.424217515734907735e+00 1.379150110514050994e+03 -1.952038757334122110e+01
1.021275351984987445e+01 7.484150656328765194e+00 1.313095969000085461e+03 -1.923599391590275332e+01
3.056359681079887736e+01 2.396949611863798779e+01 2.653061975024151980e+04 -9.359145400256796421e+00
3.676884234914078320e+01 3.131553989841869168e+01 1.335815656901365583e+04 -5.267735624345366574e+00
1.464279298257163830e+01 1.373504499806321633e+01 4.858910719221296858e+03 -1.351090386241107133e+01
1.752326682313697006e+02 1.198116468276339077e+02 7.192667432652908610e+04 1.886189360442429575e+00
1.065914704308781147e+01 9.361936967964027190e+00 1.291789478829921791e+03 -1.685699886148923099e+01
2.422252903229624366e+01 1.704009134887470367e+01 9.633571908670885023e+03 -6.290563867910304197e+00
5.579529057910815482e+01 4.381213469223143875e+01 1.159797201196997594e+04 4.485784903954552760e-01
2.083321310700685558e+01 8.636237323115160791e+00 1.390308867868394827e+03 -3.289809725849615063e+00
1.497298827848722169e+01 1.445506447807388106e+01 5.157099175670373370e+03 -1.291056701037273058e+01
1.067172349948232934e+01 9.668711617537139702e+00 1.501253494952651181e+03 -1.798647717581832950e+01
2.383237802544667971e+01 2.263890103106985308e+01 1.194301698229790600e+04 -7.927691730551348570e+00
1.075676257394248125e+01 9.987789789698457099e+00 1.188839505056900180e+03 -1.700266568057529426e+01
9.491306142108985711e+00 7.269286780570273443e+00 1.327694103084905464e+03 -2.224197627248636522e+01
6.629886387731099262e+01 5.213345053740060564e+01 3.103048298233067544e+04 -2.192656232782987047e+00
2.910220541622414103e+01 2.732223779788688489e+01 6.570876314302004175e+03 -4.801964997968411808e+00
3.429138544097077101e+01 2.530176844159877447e+01 1.072291767988647734e+04 -4.445479344119647180e+00
1.036061517646979446e+01 9.884731446681181311e+00 1.314852075103937750e+03 -1.790663592845202245e+01
2.380847519067223743e+02 1.627736762355014264e+02 6.223809892527186457e+04 3.021466823093550857e+00
