med_mass_1 med_mass_2 med_lum_dist p_PopIII
3.714979377282706707e+01 1.558775965068393887e+01 6.039409908852830995e+03 8.421702880859375240e-01
3.705224219676808275e+02 1.945171435503827979e+02 7.267582009173755068e+04 9.088865966796875195e-01
6.396654437306933971e+01 5.688918940657410417e+01 1.092291203017986481e+04 6.841883544921875115e-01
2.757154277182473265e+02 1.377460705345815484e+02 5.556186511703170254e+04 9.422709350585937171e-01
1.095912664813956070e+02 8.212537982694743732e+01 2.653307739924447742e+04 7.169315795898437704e-01
2.748906888835352902e+02 2.467996550176804078e+02 4.819636409664154780e+04 7.778511962890625187e-01
2.121524728733536449e+02 1.728676092398440005e+02 5.999934584985439142e+04 8.977692260742187180e-01
2.682302052626441764e+02 2.029247212750017582e+02 5.833638411012703727e+04 9.117322998046875071e-01
1.842635297839198643e+02 1.663486021925777152e+02 3.423833057984102925e+04 7.482924194335937029e-01
2.184022249396065263e+02 1.711402473645044324e+02 5.465864556865319901e+04 9.038726806640624556e-01
3.751084039065394791e+02 3.433167372623887559e+02 6.156231825701422349e+04 9.741791992187499583e-01
4.217520262253447640e+02 3.369827869191745435e+02 8.022200009924154438e+04 9.720122070312500195e-01
2.150878254195376940e+02 1.467410152239464196e+02 4.811142454839307902e+04 8.926262207031250284e-01
4.375757050962945414e+02 3.354492471010308918e+02 5.823814750029274728e+04 9.651708984375000355e-01
1.388064641142293851e+02 1.148278238261154627e+02 3.114711921438488935e+04 8.697265014648437598e-01
4.901814046264739488e+01 3.245798582001530974e+01 3.364218941520784028e+03 9.517223510742187642e-01
8.828160901837696883e+01 6.459885246398486913e+01 1.276828525042369074e+04 8.706580810546874494e-01
1.973586265629728302e+02 1.586895523404386381e+02 6.464119571921147872e+04 8.320390625000000373e-01
1.326595481249180466e+02 1.145211986242843096e+02 3.126872316044453328e+04 8.345936279296874982e-01
1.400029188765875006e+02 9.859511165168788693e+01 2.204047333663726386e+04 9.395151367187499769e-01
1.025172573376235050e+02 6.593858972224685999e+01 2.690701035081460577e+04 7.585946655273437811e-01
4.133178130125455709e+02 3.359205731294540556e+02 1.207115369858999038e+05 8.891148681640624885e-01
